"","acc","prec","rec","di","amt"
"0-2",0.629904559915164,0.0335195530726257,0.8,1.0019801980198,15
"3-9",0.629904559915164,0.236238532110092,0.865546218487395,1.08407521424411,119
"10-19",0.629904559915164,0.145299145299145,0.51,0.638762376237624,100
"20-29",0.629904559915164,0.404,0.798418972332016,1,253
"30-39",0.629904559915164,0.313390313390313,0.504587155963303,0.631982923062948,218
"40-49",0.629904559915164,0.181286549707602,0.473282442748092,0.592774544630036,131
"50-59",0.629904559915164,0.108571428571429,0.506666666666667,0.634587458745875,75
"60-69",0.629904559915164,0.0345821325648415,0.461538461538462,0.578065498857578,26
"70+",0.629904559915164,0.0113960113960114,0.666666666666667,0.834983498349835,6
